
running 506 tests
test admission_operation_store::participant::participant_outcome_binding_tests::participant_versions_must_equal_the_authoritative_outcome ... ok
test admission_operation_store::schema::migration_v19::tests::canonical_v18_accepts_only_a_new_empty_runtime_namespace ... ok
test admission_operation_store::schema::migration_v19::tests::current_catalog_does_not_recreate_a_missing_runtime_barrier ... ok
test admission_operation_store::schema::migration_v19::tests::every_pre_v19_version_rejects_case_insensitive_partial_namespace ... ok
test admission_operation_store::schema::migration_v19::tests::runtime_replay_tables_reject_hidden_rowid_replacement ... ok
test admission_operation_store::schema::migration_v19::tests::v18_damaged_old_schema_is_rejected_without_repair ... ok
test admission_operation_store::schema::migration_v20::tests::claim_rows_reject_replacement_mutation_and_unbounded_fields ... ok
test admission_operation_store::schema::migration_v20::tests::older_versions_cannot_adopt_claim_tables ... ok
test admission_operation_store::schema::migration_v20::tests::v19_catalog_upgrade_is_exact_and_preserves_connection_settings ... ok
test admission_operation_store::schema::migration_v20::tests::v19_damage_and_partial_claim_namespace_are_not_repaired ... ok
test admission_operation_store::schema::migration_v21::tests::activation_shaped_predecessor_is_rejected_without_adopting_its_rows ... ok
test admission_operation_store::schema::migration_v21::tests::v20_catalog_migration_changes_only_activation_constraints ... ok
test admission_operation_store::schema::migration_v21::tests::v20_damaged_catalog_is_not_repaired_for_activation ... ok
test admission_operation_store::schema::migration_v34::tests::v33_catalog_upgrade_is_exact_and_preserves_parent_names ... ok
test admission_operation_store::schema::migration_v34::tests::v33_missing_barrier_and_future_catalog_are_not_adopted ... ok
test admission_operation_store::security_participant_migration::records::tests::complete_inventory_capacity_accepts_exact_limits_and_rejects_either_excess ... ok
test admission_operation_store::security_participant_migration::records::tests::complete_inventory_capacity_cannot_wrap_row_or_byte_counts ... ok
test admission_operation_store::security_participant_migration::storage::tests::matching_fingerprints_cannot_substitute_for_retained_row_validation ... ok
test admission_operation_store::security_participant_state::schema::tests::cached_compiled_digest_never_replaces_live_catalog_verification ... ok
test admission_operation_store::security_participant_state::schema::tests::compiled_catalog_digest_preserves_each_version_and_rejects_unsupported_versions ... ok
test admission_operation_store::tests::anchored_terminal::anchored_terminal_projection_commits_both_local_projections_and_replays ... ok
test admission_operation_store::tests::anchored_terminal::anchored_terminal_projection_reconciles_a_prematurely_finalized_stage ... ok
test admission_operation_store::tests::anchored_terminal::anchored_terminal_projection_rejects_a_stale_serving_fence ... ok
test admission_operation_store::tests::anchored_terminal::anchored_terminal_projection_rejects_descriptor_substitution ... ok
test admission_operation_store::tests::anchored_terminal::anchored_terminal_projection_rejects_effect_record_substitution_at_staging ... ok
test admission_operation_store::tests::anchored_terminal::anchored_terminal_projection_rolls_back_both_local_projections_on_failure ... ok
test admission_operation_store::tests::anchored_terminal::anchored_terminal_projection_survives_expiry_and_same_store_owner_takeover ... ok
test admission_operation_store::tests::anchored_terminal::receipt_lookup_rejects_records_outside_the_terminal_manifest ... ok
test admission_operation_store::tests::authority_clock::authority_clock_rollback_is_rejected_without_mutating_history ... ok
test admission_operation_store::tests::authority_clock::decision_order_is_local_but_observation_order_is_global ... ok
test admission_operation_store::tests::authority_clock::delayed_time_cannot_create_revalidate_or_use_an_expired_lease ... ok
test admission_operation_store::tests::begin_replays_exactly_conflicts_before_mutation_and_retains_rows ... ok
test admission_operation_store::tests::budget_atomicity::capture_owner::budget_only_references_preserve_split_capture_and_exact_replay ... ok
test admission_operation_store::tests::budget_atomicity::capture_owner::combined_capture_rejects_another_operations_hold_before_and_after_owner_capture ... ok
test admission_operation_store::tests::budget_atomicity::capture_owner::missing_committed_admission_cannot_be_reclassified_as_a_budget_only_reference ... ok
test admission_operation_store::tests::budget_atomicity::combined_budget_authorization_payment_journal_and_operation_commit_are_atomic ... ok
test admission_operation_store::tests::budget_atomicity::combined_budget_capture_and_dispatch_commit_is_atomic_and_exactly_replayable ... ok
test admission_operation_store::tests::budget_atomicity::pre_dispatch_compensation_requires_the_executable_hold_to_be_reversed ... ok
test admission_operation_store::tests::clock_migration::current_version_cannot_silently_regenerate_a_missing_observation_column ... ok
test admission_operation_store::tests::clock_migration::failed_upgrade_rolls_back_and_restores_foreign_key_enforcement ... ok
test admission_operation_store::tests::clock_migration::observed_clock_is_authenticated_and_cannot_be_removed_or_forged ... ok
test admission_operation_store::tests::clock_migration::v16_upgrade_preserves_old_hashes_and_anchors_then_appends_v2 ... ok
test admission_operation_store::tests::credit_authorization::credit_account_provisioning_authorization_and_replay_are_exact ... ok
test admission_operation_store::tests::credit_authorization::credit_authorization_rejects_duplicate_action_nonce_without_second_mutation ... ok
test admission_operation_store::tests::credit_authorization::credit_authorization_rejects_request_identity_mismatch_without_mutation ... ok
test admission_operation_store::tests::credit_authorization::credit_authorization_rejects_stale_account_fence_without_mutation ... ok
test admission_operation_store::tests::credit_authorization::credit_authorization_rollback_restores_budget_reservation_and_account ... ok
test admission_operation_store::tests::credit_authorization::credit_terminal_invariants::acquired_credit_rejects_unproven_compensation_before_store_mutation ... ok
test admission_operation_store::tests::credit_authorization::credit_terminal_invariants::credit_operation_rejects_mismatched_reservation_row ... ok
test admission_operation_store::tests::credit_authorization::credit_terminal_invariants::credit_operation_rejects_missing_reservation_row ... ok
test admission_operation_store::tests::credit_authorization::credit_terminal_invariants::non_credit_operation_rejects_persisted_credit_reservation ... ok
test admission_operation_store::tests::credit_authorization::credit_terminal_invariants::outcome_unknown_credit_transition_is_exactly_bound_to_projection ... ok
test admission_operation_store::tests::credit_authorization::credit_terminal_invariants::startup_rejects_credit_account_without_reservation_history ... ok
test admission_operation_store::tests::credit_authorization::credit_terminal_invariants::verified_predispatch_projection_releases_reserved_credit_atomically ... ok
test admission_operation_store::tests::credit_authorization::cumulative_credit_exposure_rejects_the_first_request_above_the_effective_ceiling ... ok
test admission_operation_store::tests::credit_exposure::credit_exposure_account_rejects_stale_fences_non_linear_updates_and_delete ... ok
test admission_operation_store::tests::credit_exposure::credit_exposure_terminal_rejects_projection_state_obligation_and_nonce_forgery ... ok
test admission_operation_store::tests::dpop_replay::activation::activation_cutpoints_never_leave_a_domain_without_its_event_and_global_commit ... ok
test admission_operation_store::tests::dpop_replay::activation::activation_guards_reject_replace_update_and_delete_without_recursive_triggers ... ok
test admission_operation_store::tests::dpop_replay::activation::activation_policy_tampering_is_covered_by_the_existing_global_chain ... ok
test admission_operation_store::tests::dpop_replay::activation::activation_rejects_wrong_generation_stale_owner_and_policy_replacement ... ok
test admission_operation_store::tests::dpop_replay::activation::active_authority_lookup_reuses_verified_records_without_skipping_global_coverage ... ok
test admission_operation_store::tests::dpop_replay::activation::committed_activation_survives_source_loss_but_inactive_import_does_not_activate_itself ... ok
test admission_operation_store::tests::dpop_replay::activation::explicit_activation_is_atomic_immutable_and_never_a_legacy_cache_reset ... ok
test admission_operation_store::tests::dpop_replay::activation::failed_or_panicking_source_verification_leaves_activation_inactive_and_retryable ... ok
test admission_operation_store::tests::dpop_replay::activation::v24_upgrade_preserves_import_events_and_bytes_without_inventing_activation ... ok
test admission_operation_store::tests::dpop_replay::claims::budget::real_budget_authorization_checks_new_authority_but_acknowledges_expired_history ... ok
test admission_operation_store::tests::dpop_replay::claims::budget::real_capture_checks_new_authority_but_acknowledges_expired_dispatch_history ... ok
test admission_operation_store::tests::dpop_replay::claims::capacity::fresh_v2_domain_is_separate_from_preserved_full_legacy_inventory ... ok
test admission_operation_store::tests::dpop_replay::claims::capacity::maximum_utf8_and_control_nonces_fit_bounded_canonical_history_without_normalization ... ok
test admission_operation_store::tests::dpop_replay::claims::capacity::per_capability_and_identity_byte_limits_deny_without_new_history ... ok
test admission_operation_store::tests::dpop_replay::claims::concurrency::two_operations_racing_for_one_replay_key_leave_one_physical_owner ... ok
test admission_operation_store::tests::dpop_replay::claims::dispatch_snapshot::native_dpop_ledger_snapshot_retains_exact_claim_after_release ... ok
test admission_operation_store::tests::dpop_replay::claims::faults::claim_cutpoints_roll_back_the_operation_history_and_global_commit ... ok
test admission_operation_store::tests::dpop_replay::claims::faults::claim_history_is_immutable_even_without_recursive_triggers ... ok
test admission_operation_store::tests::dpop_replay::claims::faults::lost_claim_acknowledgement_recovers_the_exact_new_version_without_reacquisition ... ok
test admission_operation_store::tests::dpop_replay::claims::faults::malformed_or_missing_physical_claim_history_denies_readback ... ok
test admission_operation_store::tests::dpop_replay::claims::faults::release_failure_retains_exact_custody_until_a_successful_retry ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::authenticated_caller::authenticated_caller_start_retains_physical_dpop_and_reports_after_proof_expiry ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::boundaries::cancellation_releases_dpop_only_before_the_durable_dispatch_boundary ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::boundaries::dpop_expiring_after_readiness_is_denied_and_released_before_capture ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::composition::caller_reservation_rejects_unrecoverable_composed_credentials_before_acquisition ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::composition::composed_dpop_and_approval_preserve_each_grant_episode_across_preflight ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::composition::invalid_approval_prevents_the_first_dpop_claim_in_a_composed_request ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::composition::unsupported_caller_retry_keeps_issued_nonce_and_composed_history_usable_by_kernel ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::configuration::configuring_a_domain_requires_prior_activation_and_cannot_change_it ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::configured_v2_dispatch_claims_before_budget_and_never_uses_retired_legacy_cache ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::invalid_missing_and_legacy_proofs_deny_before_any_claim_or_budget ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::lifecycle::budget_denial_releases_dpop_and_terminalizes_without_execution ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::lifecycle::grant_fallback_releases_the_first_dpop_episode_before_claiming_the_next ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::lifecycle::nonce_preflight_releases_dpop_before_issuance_then_dispatch_claims_a_new_episode ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::nested_session::public_nested_compatibility_entrypoints_cannot_downgrade_required_dpop ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::nested_session::public_nested_context_authority_error_clears_inflight_without_claims ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::nested_session::public_nested_missing_and_substituted_proofs_deny_before_claim_or_effect ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::nested_session::public_nested_nonce_retry_preserves_original_session_and_dpop_custody ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::nested_session::public_nested_proofs_claim_exact_dpop_and_reject_cross_request_replay ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::recovery::committed_dpop_survives_kernel_reopen_and_rejects_a_fresh_signature_for_the_spent_nonce ... ok
test admission_operation_store::tests::dpop_replay::claims::kernel_routes::recovery::startup_releases_expired_pre_dispatch_dpop_without_recreating_the_source ... ok
