==> Canonical JSON Lean fixture drift
==> Lean 4 proof build
✔ [8/398] Built Aeneas.Tactic.Solver.Grind.Attribute (2.3s)
✔ [9/398] Built Aesop.Search.Expansion.Simp (1.5s)
✔ [10/398] Built Aesop.Util.OrderedHashSet (1.0s)
✔ [11/398] Built Mathlib.Tactic.Linter.DirectoryDependency (3.5s)
✔ [12/398] Built Chio.Json.Value (4.9s)
✔ [13/398] Built Aesop.RuleSet.Name (4.4s)
✔ [14/398] Built Aesop.ElabM (3.3s)
✔ [15/398] Built Aesop.Frontend.Basic (6.3s)
✔ [16/398] Built Aesop.Exception (6.3s)
✔ [17/398] Built Aesop.Script.GoalWithMVars (2.5s)
✔ [18/398] Built Aesop.Script.OptimizeSyntax (6.6s)
✔ [19/398] Built Aesop.Util.Unfold (4.5s)
✔ [20/398] Built Aesop.Percent (1.0s)
✔ [21/398] Built Aesop.Script.Tactic (1.8s)
✔ [22/398] Built Aesop.Nanos (1.3s)
✔ [23/398] Built Aesop.Util.UnionFind (1.8s)
✔ [26/400] Built Aesop.Forward.LevelIndex (1.2s)
✔ [27/400] Built Aesop.Rule.Name (1.9s)
✔ [29/400] Built Aesop.Forward.SlotIndex (857ms)
✔ [30/400] Built Aesop.RuleTac.FVarIdSubst (2.4s)
✔ [31/400] Built Aesop.Check (1.1s)
✔ [32/400] Built Aesop.Forward.PremiseIndex (1.6s)
✔ [33/400] Built Aesop.Index.DiscrTreeConfig (2.7s)
✔ [34/400] Built Aeneas.Std.Global (10s)
✔ [35/400] Built Aeneas.Tactic.Step.Trace (11s)
✔ [36/402] Built Aesop.Constants (690ms)
✔ [37/402] Built AeneasMeta.UtilsCore (11s)
✔ [38/402] Built Aesop.Options.Public (3.2s)
✔ [39/402] Built ImportGraph.Lean.Environment (1.1s)
✔ [40/402] Built Aesop.RuleTac.RuleTerm (1.5s)
✔ [41/402] Built ImportGraph.Imports.ImportGraph (1.2s)
✔ [42/402] Built Batteries.Classes.RatCast (1.2s)
✔ [43/402] Built Aesop.RuleTac.ElabRuleTerm (3.1s)
✔ [44/402] Built Batteries.Lean.Except (1.4s)
✔ [45/402] Built Aesop.RuleSet.Filter (3.0s)
✔ [46/402] Built Mathlib.Tactic.Linter.Header (4.7s)
✔ [47/402] Built Aesop.Util.Tactic.Unfold (3.9s)
✔ [48/402] Built Batteries.Lean.Syntax (1.5s)
✔ [49/402] Built Batteries.Control.ForInStep.Basic (1.1s)
✔ [50/402] Built Aeneas.Tactic.Solver.Grind.Init (5.4s)
✔ [51/402] Built Batteries.Lean.PersistentHashSet (1.1s)
✔ [52/402] Built Batteries.Lean.PersistentHashMap (1.1s)
✔ [53/402] Built Batteries.Lean.HashSet (1.2s)
✔ [54/402] Built Batteries.Lean.NameMapAttribute (1.8s)
✔ [55/402] Built Batteries.Lean.Meta.Expr (969ms)
✔ [56/402] Built AeneasMeta.OptionConfig (15s)
✔ [57/402] Built Batteries.Lean.MonadBacktrack (810ms)
✔ [58/402] Built Batteries.Lean.Meta.UnusedNames (1.3s)
✔ [59/402] Built Batteries.Tactic.PermuteGoals (1.4s)
✔ [60/402] Built Batteries.Control.Lemmas (1.1s)
✔ [61/402] Built Batteries.Lean.TagAttribute (902ms)
✔ [62/402] Built Batteries.Util.ProofWanted (1.5s)
✔ [63/402] Built Batteries.Data.String.Basic (1.2s)
✔ [64/402] Built Batteries.Tactic.SeqFocus (1.7s)
✔ [65/402] Built Batteries.Lean.Expr (1.3s)
✔ [66/402] Built Batteries.Lean.Meta.Inaccessible (1.2s)
✔ [67/402] Built Batteries.Tactic.Init (2.9s)
✔ [68/402] Built Batteries.Control.LawfulMonadState (3.2s)
✔ [69/402] Built Batteries.Tactic.Unreachable (1.6s)
✔ [70/402] Built Batteries.Util.ExtendedBinder (1.9s)
✔ [71/402] Built Chio.Json.Canonical (9.1s)
✔ [72/405] Built Batteries.Util.LibraryNote (2.1s)
✔ [73/405] Built Batteries.CodeAction.Deprecated (3.0s)
✔ [74/405] Built Batteries.Tactic.Trans (6.1s)
✔ [75/405] Built Batteries.Data.Array.Merge (3.4s)
✔ [76/405] Built Qq.SortLocalDecls (1.4s)
✔ [77/405] Built Batteries.Tactic.OpenPrivate (2.9s)
✔ [78/405] Built Batteries.Tactic.Lint.Basic (2.8s)
✔ [79/405] Built ImportGraph.Imports.Redundant (1.2s)
✔ [80/405] Built Qq.ForLean.ReduceEval (2.2s)
✔ [81/405] Built Qq.ForLean.ToExpr (2.4s)
✔ [82/405] Built Qq.Typ (2.4s)
✔ [83/405] Built Mathlib.Util.ParseCommand (1.4s)
✔ [84/405] Built Qq.ForLean.Do (2.7s)
✔ [85/405] Built Aesop.Options.Internal (1.9s)
✔ [86/405] Built Mathlib.Lean.Elab.Tactic.Meta (1.5s)
✔ [87/405] Built Mathlib.Lean.Environment (1.0s)
✔ [88/405] Built Chio.Core.Capability (21s)
✔ [89/405] Built ImportGraph.Imports.RequiredModules (2.8s)
✔ [90/405] Built Mathlib.Tactic.Linter.UnusedTacticExtension (1.5s)
✔ [91/405] Built Mathlib.Tactic.DeclarationNames (1.4s)
✔ [92/405] Built Mathlib.Tactic.Linter.PrivateModule (1.8s)
✔ [93/405] Built Mathlib.Tactic.Linter.OldObtain (1.8s)
✔ [94/405] Built Mathlib.Tactic.Linter.Multigoal (2.1s)
✔ [95/405] Built Mathlib.Tactic.Linter.GlobalAttributeIn (1.4s)
✔ [96/405] Built Mathlib.Lean.Expr.Basic (3.3s)
✔ [97/405] Built Mathlib.Lean.Linter (1.4s)
✔ [98/405] Built Mathlib.Tactic.Linter.HashCommandLinter (2.5s)
✔ [99/406] Built Batteries.Lean.AttributeExtra (1.2s)
✔ [100/406] Built Mathlib.Tactic.Linter.EmptyLine (2.4s)
✔ [101/406] Built Batteries.Control.OptionT (1.8s)
✔ [102/406] Built Mathlib.Tactic.Linter.DocString (3.0s)
✔ [103/406] Built Mathlib.Tactic.Linter.Whitespace (4.8s)
✔ [104/406] Built Batteries.Lean.Meta.DiscrTree (942ms)
✔ [105/406] Built Mathlib.Tactic.Linter.DeprecatedSyntaxLinter (3.0s)
ℹ [106/406] Built Chio.Json.Hash (1.6s)
info: Chio/Json/Hash.lean:41:0: 'Chio.Json.hash_collision_resistant' depends on axioms: [propext,
 Classical.choice,
 Quot.sound,
 Chio.Json.hash_collision_resistant]
