invocation,elapsed_ns
0,7201515
1,8694164
2,7949079
3,9214046
4,10288411
5,10949015
6,10021090
7,6072510
8,13886709
9,7091916
10,10361811
11,7679478
12,5294066
13,4582703
14,4524902
15,9776489
16,9615728
17,5224266
18,5086066
19,7428437
20,5451027
21,7907519
22,8511923
23,9575608
24,5737628
25,9754169
26,8781444
27,10437572
28,10652813
29,5218906
30,4343582
31,9422646
32,5682148
33,8641363
34,10702213
35,5579228
36,9174605
37,5159746
38,5605388
39,5221546
40,9059005
41,12653623
42,7164355
43,5362347
44,7414397
45,5465267
46,7185676
47,7982920
48,9974610
49,5152866
50,17783889
51,10972615
52,7137516
53,12040540
54,6686473
55,11492137
56,4851304
57,9113286
58,4515862
59,7983880
60,7126715
61,8069920
62,9714608
63,6155431
64,6150670
65,7555358
66,10665093
67,9640448
68,6877315
69,7557438
70,12285861
71,7865039
72,8713043
73,9013325
74,8962525
75,6656953
76,8720163
77,6088950
78,6032590
79,10902174
80,8480602
81,6987915
82,5763789
83,5571467
84,5383947
85,7935159
86,7593318
87,4941704
88,5358227
89,5290947
90,6800834
91,6067750
92,9355327
93,16713803
94,9173165
95,11789739
96,6554953
97,6821274
98,11467897
99,6835354
100,8426122
101,7705839
102,9164726
103,5525707
104,4859785
105,9080605
106,9022845
107,7963359
108,7216276
109,7318477
110,9320767
111,7154195
112,8381802
113,9382166
114,8673563
115,5783989
116,4764503
117,7557278
118,6650714
119,6673994
120,8411802
121,6819554
122,5444987
123,7585398
124,7245036
125,6954435
126,5195906
127,5042385
128,4440022
129,5163786
130,11609698
131,7664838
132,8469242
133,5967030
134,14367871
135,13987750
136,9270686
137,10611532
138,8777204
139,5478587
140,8329481
141,4740264
142,7865479
143,5895549
144,8551562
145,10394172
146,6745113
147,5610908
148,6632873
149,5663228
150,8542042
151,5169426
152,12255821
153,6455833
154,12130861
155,7448318
156,6831714
157,8267082
158,7520038
159,7358596
160,10080091
161,6995195
162,5966989
163,7916320
164,7852639
165,6199831
166,5042105
167,9709088
168,9930049
169,8189681
170,5776988
171,7747359
172,5506267
173,9059925
174,9803049
175,4872744
176,6566233
177,15187076
178,9109485
179,6606393
180,8812523
181,9538408
182,10689134
183,13626508
184,8127600
185,5639149
186,5779829
187,7958160
188,8546803
189,9787928
190,9806009
191,13486987
192,9677968
193,13602947
194,6660673
195,9732769
196,5890349
197,8222561
198,7858440
199,5267467
200,9764528
201,7069515
202,8338802
203,9541808
204,8939245
205,10341051
206,6903075
207,8226561
208,4852064
209,5132665
210,9131085
211,8720003
212,14467192
213,5718629
214,7517997
215,7597998
216,8538762
217,8107080
218,7336276
219,14437672
220,13083425
221,8862004
222,8060680
223,6548113
224,6288431
225,8062360
226,5652748
227,8880124
228,5732708
229,4878424
230,4107620
231,4518662
232,5656148
233,5387987
234,8116080
235,9394887
236,10119730
237,5757909
238,5198586
239,8463402
240,6817394
241,7834879
242,8259321
243,8664804
244,7625958
245,6328632
246,8599643
247,12015860
248,5993269
249,12310301
250,8171921
251,6127390
252,5877509
253,9337926
254,9100685
255,6029310
256,12916304
257,6965355
258,5204946
259,8948005
260,7821479
261,8405722
262,16453882
263,12298861
264,8232441
265,8575003
266,6853395
267,7040115
268,5213346
269,4388942
270,7717918
271,12128060
272,10498692
273,10247971
274,9263646
275,11991260
276,6192351
277,7089435
278,8605763
279,6873034
280,6593953
281,4867464
282,8188721
283,9121925
284,5261146
285,8449682
286,9755768
287,5229186
288,9042125
289,7098995
290,4986425
291,6825354
292,6180431
293,7035115
294,8699003
295,6326392
296,8621963
297,9874169
298,8902365
299,5294426
300,6720113
301,5969990
302,8577963
303,11814459
304,6526752
305,4847864
306,8096920
307,5700588
308,7366357
309,8000679
310,7989040
311,7892559
312,9970209
313,8553643
314,6932154
315,4060460
316,4427262
317,8253361
318,6338712
319,7154995
320,4236261
321,4702264
322,7685398
323,7486277
324,10794774
325,6032790
326,6696634
327,5214906
328,8630323
329,8859804
330,5142145
331,9766488
332,8632803
333,5775348
334,15540438
335,9392486
336,9861289
337,7408357
338,5896590
339,8583442
340,6927795
341,5586868
342,5094785
343,4541462
344,4801384
345,6883914
346,15573357
347,12813864
348,6019430
349,7023315
350,7225276
351,8064640
352,6561592
353,8540763
354,8106521
355,4668903
356,9288727
357,10674134
358,8750004
359,5254466
360,7955599
361,5737668
362,7475837
363,5061985
364,7777518
365,9085485
366,6711273
367,8440402
368,9678808
369,8789804
370,7644318
371,6685153
372,7278836
373,5373427
374,9146846
375,7641558
376,5279506
377,4947905
378,9666288
379,10179531
380,5237946
381,4573182
382,8509083
383,6878634
384,7675358
385,9403407
386,9117765
387,13046105
388,12202821
389,8973564
390,6786234
391,7879799
392,4778664
393,8156920
394,5807429
395,10045810
396,6583273
397,8089440
398,10720093
399,5429907
