invocation,elapsed_ns
0,13591427
1,15631997
2,13124664
3,13211945
4,13463826
5,24129519
6,15735037
7,14059030
8,14700432
9,12873503
10,13708668
11,22653192
12,16913243
13,13450546
14,16319960
15,14176430
16,24485881
17,12629222
18,21020544
19,13107385
20,12998025
21,14926194
22,14094389
23,18625852
24,22272350
25,12764223
26,15250716
27,12453141
28,12728583
29,12958864
30,12455421
31,14686352
32,21682827
33,15352316
34,26649291
35,23748637
36,151850188
37,14759552
38,15514277
39,14207590
40,14251631
41,13964108
42,17117604
43,19594456
44,16314640
45,15973199
46,15074234
47,17445006
48,19548696
49,14539312
50,19993538
51,24229280
52,14027629
53,16688602
54,14881673
55,16462641
56,16427001
57,18246049
58,16939524
59,17937848
60,17797487
61,24624162
62,22999954
63,16847163
64,14765833
65,29126823
66,16645962
67,14609432
68,16357921
69,19071374
70,24504520
71,17342246
72,15143714
73,14083630
74,15323995
75,13989309
76,15166195
77,16136559
78,19010494
79,29891067
80,20126659
81,14923634
82,14166950
83,14272830
84,15873278
85,23415916
86,21043584
87,17143484
88,21870188
89,15931039
90,17165044
91,16796003
92,21155744
93,20465661
94,13752107
95,15221675
96,18355610
97,27084693
98,16614322
99,22720232
100,22714032
101,28620781
102,16531481
103,14839113
104,14039589
105,14178670
106,23453395
107,19105134
108,17269206
109,15391156
110,20088539
111,15401676
112,16520362
113,14407351
114,17518766
115,22860433
116,29590065
117,13997749
118,18903814
119,18067169
120,22281030
121,14924593
122,19141015
123,14735952
124,24349120
125,17059004
126,29239824
127,20468541
128,14081349
129,14035269
130,15632437
131,19138615
132,25760207
133,20328420
134,33136243
135,25720527
136,156523571
137,18948013
138,21756228
139,21034664
140,14361791
141,25799007
142,20749582
143,13646667
144,18914453
145,20638061
146,21534587
147,17033964
148,15738558
149,17445406
150,25737446
151,26509491
152,14476551
153,14603312
154,27897818
155,14490471
156,25315405
157,13747508
158,18035328
159,19389016
160,17932768
161,19107334
162,13693508
163,17870968
164,25345685
165,15242675
166,19963938
167,17091365
168,15036194
169,28971783
170,24245360
171,18683892
172,22923833
173,15391276
174,16096360
175,16901723
176,14077349
177,16887844
178,16077720
179,14319750
180,28197779
181,18239970
182,14993434
183,16016799
184,21309025
185,15161835
186,15820078
187,17561726
188,17523927
189,29228544
190,21127784
191,14806073
192,16239640
193,23650436
194,14845873
195,14761233
196,20140340
197,15748877
198,16279640
199,13978589
