invocation,elapsed_ns
0,7379597
1,6840314
2,7780159
3,10388052
4,9856849
5,9756768
6,10820093
7,7504477
8,7508037
9,7595398
10,7404077
11,7245436
12,7300317
13,7304796
14,7222516
15,7279556
16,6971594
17,6913315
18,7157355
19,7287197
20,6968114
21,7136875
22,7197876
23,11974380
24,9586487
25,9336966
26,8630083
27,6841314
28,7129835
29,6861474
30,10401532
31,8241041
32,6923795
33,6803673
34,7080395
35,6842274
36,6649673
37,6919195
38,11413936
39,11169896
40,9742448
41,10739653
42,11151656
43,9908489
44,7090475
45,6576592
46,6978755
47,7094995
48,6968514
49,6882875
50,6824074
51,6679273
52,6654313
53,6581393
54,6996915
55,6915154
56,6408872
57,6554593
58,7309676
59,6706634
60,8166560
61,8640523
62,11282096
63,12529502
64,7348597
65,6977275
66,7348396
67,11460976
68,7010634
69,7070915
70,7578437
71,7413836
72,88712600
73,7335036
74,6929354
75,7745999
76,7232036
77,7530597
78,11029815
79,10345532
80,17650128
81,9263846
82,7095955
83,7342077
84,7103675
85,10848893
86,12206700
87,10539693
88,10365971
89,7608997
90,7189955
91,7260116
92,6892554
93,7009755
94,6842354
95,7023795
96,7031595
97,7022595
98,7762399
99,7004195
100,7308396
101,6905074
102,6946074
103,7181636
104,11166535
105,12559183
106,14446512
107,7850439
108,7312476
109,7078035
110,6929634
111,7071155
112,7258476
113,7312396
114,7217756
115,7299436
116,11208335
117,7853959
118,6990194
119,6993355
120,6740194
121,6904514
122,10286091
123,12179180
124,10721973
125,11337016
126,7135316
127,6910954
128,7425197
129,7151836
130,7204276
131,12116060
132,9071365
133,6848834
134,7085635
135,6876154
136,6867634
137,6749074
138,7229156
139,6658473
140,11746218
141,10167531
142,13730228
143,8419561
144,7548197
145,7057235
146,6714994
147,6856714
148,7238196
149,7412397
150,7092235
151,10089610
152,11417296
153,7234435
154,6965514
155,6895635
156,7133555
157,7001115
158,12268101
159,9569448
160,9234966
161,10669613
162,8159321
163,6789034
164,7117435
165,7237236
166,6989955
167,7230356
168,7325197
169,7052635
170,7394077
171,6890074
172,90378729
173,6986675
174,6938114
175,7031075
176,7075676
177,6973874
178,6966914
179,7196956
180,12423982
181,8900764
182,7456477
183,7195955
184,7587917
185,7198796
186,10791134
187,9336846
188,11671578
189,13147185
190,11441977
191,10075210
192,7363076
193,7098436
194,8341201
195,8438562
196,8394241
197,7562758
198,7872519
199,7955280
200,7657838
201,7521437
202,11363776
203,8969725
204,11730818
205,10467732
206,7370916
207,7037435
208,7410597
209,6991515
210,7010595
211,7274836
212,7897560
213,7888919
214,7531718
215,7087195
216,7120235
217,6938834
218,7280076
219,7489598
220,7359476
221,7720398
222,13197985
223,17381166
224,10664253
225,8652683
226,8058839
227,7329036
228,7358477
229,12642463
230,9411207
231,7604838
232,7321236
233,7102395
234,7366956
235,7692078
236,7487237
237,7114276
238,8570202
239,12900984
240,14412671
241,9836009
242,6997595
243,7280556
244,7618517
245,7799118
246,7565317
247,7319477
248,7339636
249,7277636
250,7850359
251,7633558
252,7189196
253,7490397
254,7113515
255,7753239
256,10794374
257,12146220
258,10763894
259,11081335
260,16317721
261,8279122
262,7572677
263,7776318
264,7757039
265,7150555
266,6963874
267,6916355
268,7070875
269,6841794
270,7320637
271,7206275
272,85300663
273,7404397
274,7616598
275,9718528
276,8638203
277,7347157
278,12854504
279,8997725
280,7534077
281,7537158
282,14946154
283,12808144
284,10600613
285,8221361
286,7434437
287,7408037
288,7124395
289,7034434
290,7307476
291,6635193
292,7203396
293,6961715
294,6882994
295,13332186
296,13289026
297,11376216
298,9503607
299,13443146
300,7867759
301,7959559
302,7454157
303,7087155
304,7756719
305,7486597
306,7425757
307,7420437
308,7384237
309,7090755
310,7128676
311,7357476
312,7338396
313,7285236
314,7199676
315,7328637
316,7403757
317,10801533
318,11522577
319,8387042
320,11696698
321,7916559
322,7470997
323,7628558
324,7890999
325,7826319
326,8303721
327,7765678
328,13980590
329,9662648
330,7902639
331,7501037
332,11511577
333,11373856
334,9500327
335,13559787
336,9330767
337,7724158
338,7442196
339,7441877
340,7066675
341,7191676
342,6968075
343,7323916
344,7345117
345,7338116
346,7404477
347,6956635
348,7449557
349,6999075
350,7489997
351,7088475
352,8217400
353,11881939
354,13425626
355,10495052
356,8492842
357,7124196
358,7275396
359,7052075
360,7684318
361,7431597
362,7308676
363,7388317
364,7533517
365,7374196
366,7488678
367,10139450
368,10168931
369,7609558
370,10729933
371,11146776
372,85131822
373,7375717
374,7530437
375,7492557
376,7307276
377,12903624
378,12754823
379,14223311
380,17690008
381,13076065
382,7640238
383,7559318
384,7348556
385,6835794
386,6803593
387,7200476
388,6891634
389,7003194
390,6835793
391,6751473
392,6981875
393,6812394
394,6807514
395,10912574
396,11125855
397,10791893
398,14367712
399,7585157
