scenario,sequence,request_id,round_trip_ms,evaluate_ms,prepare_ms,verdict,failure_code,cosign_connections
allow,1,req-federated-pair-1,201.746393,199.446000,4.463000,allow,,3
allow,2,req-federated-pair-2,203.277200,201.026000,3.371000,allow,,3
allow,3,req-federated-pair-3,193.102951,191.225000,3.410000,allow,,3
allow,4,req-federated-pair-4,197.454571,195.490000,3.066000,allow,,3
allow,5,req-federated-pair-5,214.560776,212.613000,3.201000,allow,,3
allow,6,req-federated-pair-6,188.891130,186.734000,3.350000,allow,,3
allow,7,req-federated-pair-7,194.302356,192.461000,2.978000,allow,,3
allow,8,req-federated-pair-8,192.032465,190.042000,3.051000,allow,,3
allow,9,req-federated-pair-9,197.945534,195.530000,10.156000,allow,,3
allow,10,req-federated-pair-10,182.766059,180.822000,2.991000,allow,,3
allow,11,req-federated-pair-11,199.249821,196.915000,3.123000,allow,,3
allow,12,req-federated-pair-12,193.323791,188.461000,6.736000,allow,,3
allow,13,req-federated-pair-13,195.903085,194.146000,2.874000,allow,,3
allow,14,req-federated-pair-14,184.506228,182.546000,3.129000,allow,,3
allow,15,req-federated-pair-15,202.715757,198.359000,5.360000,allow,,3
allow,16,req-federated-pair-16,184.773349,182.880000,3.139000,allow,,3
allow,17,req-federated-pair-17,190.278856,188.414000,3.249000,allow,,3
allow,18,req-federated-pair-18,217.075788,215.223000,3.131000,allow,,3
allow,19,req-federated-pair-19,185.000630,183.084000,2.955000,allow,,3
allow,20,req-federated-pair-20,185.320232,183.329000,3.035000,allow,,3
allow,21,req-federated-pair-21,210.976558,209.135000,2.926000,allow,,3
allow,22,req-federated-pair-22,195.952124,194.096000,3.146000,allow,,3
allow,23,req-federated-pair-23,184.499508,182.721000,3.095000,allow,,3
allow,24,req-federated-pair-24,203.936723,201.908000,3.206000,allow,,3
allow,25,req-federated-pair-25,228.507684,226.512000,3.075000,allow,,3
allow,26,req-federated-pair-26,207.938703,205.816000,3.115000,allow,,3
allow,27,req-federated-pair-27,201.290590,198.996000,3.313000,allow,,3
allow,28,req-federated-pair-28,183.366263,181.321000,3.150000,allow,,3
allow,29,req-federated-pair-29,216.360585,214.215000,3.180000,allow,,3
allow,30,req-federated-pair-30,210.356396,208.222000,3.318000,allow,,3
allow,31,req-federated-pair-31,198.247255,192.471000,3.037000,allow,,3
allow,32,req-federated-pair-32,199.911624,196.758000,6.414000,allow,,3
allow,33,req-federated-pair-33,196.525207,194.638000,3.046000,allow,,3
allow,34,req-federated-pair-34,204.931209,202.825000,3.198000,allow,,3
allow,35,req-federated-pair-35,189.115051,184.253000,3.344000,allow,,3
allow,36,req-federated-pair-36,193.800634,191.950000,3.156000,allow,,3
allow,37,req-federated-pair-37,193.934354,191.851000,3.078000,allow,,3
allow,38,req-federated-pair-38,195.360962,191.941000,3.430000,allow,,3
allow,39,req-federated-pair-39,193.882714,191.872000,3.130000,allow,,3
allow,40,req-federated-pair-40,189.920894,188.128000,3.097000,allow,,3
allow,41,req-federated-pair-41,202.404396,200.499000,3.016000,allow,,3
allow,42,req-federated-pair-42,190.322137,188.337000,2.997000,allow,,3
allow,43,req-federated-pair-43,180.864930,178.878000,3.186000,allow,,3
allow,44,req-federated-pair-44,197.070290,195.092000,3.314000,allow,,3
allow,45,req-federated-pair-45,206.881418,204.104000,4.738000,allow,,3
allow,46,req-federated-pair-46,199.321421,197.395000,3.129000,allow,,3
allow,47,req-federated-pair-47,201.021229,198.798000,3.040000,allow,,3
allow,48,req-federated-pair-48,215.203059,211.695000,7.599000,allow,,3
allow,49,req-federated-pair-49,193.601913,191.744000,2.983000,allow,,3
allow,50,req-federated-pair-50,224.480145,222.614000,3.101000,allow,,3
allow,51,req-federated-pair-51,217.565150,215.405000,2.922000,allow,,3
allow,52,req-federated-pair-52,221.000368,219.095000,3.155000,allow,,3
allow,53,req-federated-pair-53,197.203851,195.322000,2.985000,allow,,3
allow,54,req-federated-pair-54,186.827680,184.816000,3.000000,allow,,3
allow,55,req-federated-pair-55,198.114575,195.981000,2.959000,allow,,3
allow,56,req-federated-pair-56,189.882775,187.783000,3.347000,allow,,3
allow,57,req-federated-pair-57,184.204907,182.187000,2.995000,allow,,3
allow,58,req-federated-pair-58,200.625987,197.879000,3.022000,allow,,3
allow,59,req-federated-pair-59,202.570477,193.926000,5.485000,allow,,3
allow,60,req-federated-pair-60,191.579063,189.801000,3.029000,allow,,3
allow,61,req-federated-pair-61,206.229214,204.176000,3.020000,allow,,3
allow,62,req-federated-pair-62,202.846078,200.765000,6.718000,allow,,3
allow,63,req-federated-pair-63,193.905314,192.002000,3.013000,allow,,3
allow,64,req-federated-pair-64,198.343816,192.320000,3.066000,allow,,3
allow,65,req-federated-pair-65,193.609793,190.820000,3.765000,allow,,3
allow,66,req-federated-pair-66,205.538252,203.451000,3.234000,allow,,3
allow,67,req-federated-pair-67,201.519752,199.426000,3.085000,allow,,3
allow,68,req-federated-pair-68,191.939824,189.896000,3.351000,allow,,3
allow,69,req-federated-pair-69,185.930115,183.792000,3.099000,allow,,3
allow,70,req-federated-pair-70,211.647442,207.161000,3.201000,allow,,3
allow,71,req-federated-pair-71,202.483716,198.296000,3.601000,allow,,3
allow,72,req-federated-pair-72,190.693938,188.811000,3.097000,allow,,3
allow,73,req-federated-pair-73,203.432241,201.466000,3.159000,allow,,3
allow,74,req-federated-pair-74,201.899593,199.773000,3.151000,allow,,3
allow,75,req-federated-pair-75,194.365756,192.321000,3.101000,allow,,3
allow,76,req-federated-pair-76,196.706448,194.734000,3.302000,allow,,3
allow,77,req-federated-pair-77,199.876944,197.880000,3.147000,allow,,3
allow,78,req-federated-pair-78,195.386202,193.456000,3.071000,allow,,3
allow,79,req-federated-pair-79,201.676992,199.898000,3.009000,allow,,3
allow,80,req-federated-pair-80,198.636017,196.810000,3.087000,allow,,3
allow,81,req-federated-pair-81,186.726119,184.866000,3.316000,allow,,3
allow,82,req-federated-pair-82,202.543717,200.755000,3.113000,allow,,3
allow,83,req-federated-pair-83,197.910454,196.161000,3.132000,allow,,3
allow,84,req-federated-pair-84,184.331228,182.558000,3.046000,allow,,3
allow,85,req-federated-pair-85,203.968923,201.977000,3.150000,allow,,3
allow,86,req-federated-pair-86,213.422731,211.439000,3.413000,allow,,3
allow,87,req-federated-pair-87,184.595469,182.715000,2.957000,allow,,3
allow,88,req-federated-pair-88,214.719216,212.482000,3.094000,allow,,3
allow,89,req-federated-pair-89,190.215336,188.339000,3.195000,allow,,3
allow,90,req-federated-pair-90,195.055680,193.031000,3.026000,allow,,3
allow,91,req-federated-pair-91,207.596542,204.905000,3.176000,allow,,3
allow,92,req-federated-pair-92,189.233851,187.224000,8.814000,allow,,3
allow,93,req-federated-pair-93,190.562618,188.682000,3.107000,allow,,3
allow,94,req-federated-pair-94,220.703606,218.836000,3.019000,allow,,3
allow,95,req-federated-pair-95,194.909399,192.889000,3.090000,allow,,3
allow,96,req-federated-pair-96,188.918409,187.053000,3.008000,allow,,3
allow,97,req-federated-pair-97,206.489657,203.018000,6.420000,allow,,3
allow,98,req-federated-pair-98,201.345151,199.170000,3.267000,allow,,3
allow,99,req-federated-pair-99,182.842060,180.790000,3.126000,allow,,3
allow,100,req-federated-pair-100,222.543935,219.218000,5.264000,allow,,3
